{
{ -3.61107f, 7.24704f, -5.95797f, -8.22742f, 4.93646f, -9.14215f, 3.54904f, -4.61686f, -0.71594f, -15.54136f, -18.60984f, -0.49994f, -2.18490f, -4.45848f, 4.17302f, -8.04931f },
{ 6.19417f, 14.31667f, 3.42099f, 2.45828f, 3.00949f, -3.95936f, -10.44311f, -7.56356f, 12.28636f, -10.90346f, 2.69947f, -1.74976f, -7.67366f, -17.91936f, 2.93582f, -7.63853f },
{ -2.04863f, 3.59660f, 13.61066f, -12.95988f, -15.44864f, 9.98152f, 2.03421f, -7.66424f, -13.09245f, 3.72836f, -7.12690f, 8.49025f, 2.62493f, 6.82095f, 4.10578f, 9.95829f },
{ -7.78872f, -19.00987f, -7.76603f, -17.54912f, -7.71796f, -13.89065f, -10.20368f, 8.24013f, -7.54779f, 8.82711f, -9.50644f, 4.16258f, 10.57018f, 18.77610f, -18.48930f, 14.86847f },
{ -7.49468f, 2.63203f, -10.42034f, -9.31787f, -2.77030f, -8.85280f, -10.27521f, 23.86994f, -12.09652f, 16.38338f, -1.13557f, -6.18897f, 4.89638f, 8.22051f, 10.10782f, 7.19822f },
{ 6.65669f, 10.05736f, 0.14416f, -2.81625f, 11.31873f, -0.13684f, -22.34012f, 8.72352f, -18.74865f, 2.42240f, 15.73531f, -4.54217f, -9.94779f, -6.79586f, -13.04885f, -7.09937f },
{ -9.40128f, 5.83335f, -1.15644f, 0.02481f, 1.62078f, 2.71108f, -8.93576f, 5.46724f, 4.32249f, 17.36731f, 6.57797f, 4.29954f, -2.57594f, -15.53916f, -12.67723f, -7.10485f },
{ -0.38937f, 13.82898f, 12.73722f, -24.17048f, 6.09460f, -10.88111f, 1.87221f, -9.99805f, -6.23868f, 9.57411f, -0.85305f, -6.49723f, 9.46934f, -15.61283f, 19.20780f, 3.92581f },
{ 5.61928f, 8.19173f, 13.41449f, -1.14192f, 3.55569f, -6.70982f, -10.29384f, -12.08002f, -1.97083f, 0.17391f, 20.39151f, -0.59974f, 22.31525f, 6.44767f, -8.42062f, 0.25903f },
{ 15.06349f, 8.48630f, -15.77414f, -2.27370f, -1.28383f, 11.68442f, -4.85162f, -6.63950f, -19.45450f, -5.14643f, -1.12805f, -10.29647f, -0.58276f, 0.73401f, -10.04146f, -1.69998f },
{ 10.48153f, -12.42267f, 10.31033f, -5.52106f, 2.11383f, -10.93045f, -0.89934f, -7.44128f, 0.43612f, -1.47191f, -5.56641f, -1.93901f, 12.61530f, 9.43814f, -3.89433f, 1.04794f },
{ 5.59221f, 2.69790f, 10.05475f, 6.85938f, -9.57073f, 11.40936f, -7.49053f, -15.84740f, 15.59616f, 29.07527f, 11.78823f, 1.51142f, -14.39177f, -14.21333f, -4.83991f, -0.13099f },
{ -9.58399f, 5.57505f, 2.04902f, 2.08191f, 13.63351f, 12.88615f, -4.56441f, 12.91582f, 4.29830f, -0.28384f, -6.88208f, -4.83235f, -20.89847f, -10.94761f, -8.97185f, 2.80757f },
{ 7.24411f, -1.23364f, 14.10778f, 4.36333f, -18.86838f, -9.93110f, 14.44456f, 21.83324f, -5.04270f, -8.80299f, -11.30754f, -2.83334f, 4.58858f, 13.30655f, -1.11391f, 0.70107f },
{ 0.12909f, -16.72483f, -0.51245f, -4.46709f, -5.15553f, -6.97737f, -2.36580f, 2.68993f, -14.83129f, -7.46135f, -7.66546f, -2.25721f, -7.54426f, 6.39141f, -1.78122f, -8.53819f },
{ 10.57600f, 19.85799f, -4.20326f, 12.40688f, 7.86461f, 5.33824f, -2.50300f, -2.31004f, 18.19010f, -23.89641f, -32.91625f, -8.82482f, 17.35766f, -9.72797f, 9.97912f, -5.52829f },
{ 9.32091f, -1.15607f, -5.62053f, 7.73801f, 1.84458f, -0.63276f, 0.33934f, -7.81500f, -1.58631f, 3.22691f, 1.69680f, 4.86007f, 2.25015f, 7.52853f, 3.77479f, -7.36384f },
{ 0.68391f, 6.98143f, 9.29076f, 3.33868f, 18.42839f, 10.42535f, -21.41770f, 10.03248f, -6.37373f, -6.69066f, -24.52445f, 9.03478f, 0.40980f, 14.74661f, 17.22629f, 0.17747f },
{ -2.16707f, 9.16204f, 3.87313f, -7.23697f, -4.39164f, 14.59537f, -0.11065f, -5.91128f, 21.35797f, 4.70328f, -6.22464f, -12.54117f, 14.73325f, 1.73390f, 12.26417f, -5.57801f },
{ 8.27951f, -0.21325f, -9.33707f, 11.29677f, 5.24158f, -17.59514f, 6.19986f, 0.58375f, -7.11007f, -7.70125f, 21.49969f, 4.29595f, -7.40638f, 1.29527f, -3.14215f, 5.03632f },
{ -13.74569f, -8.69056f, -13.85014f, 17.47015f, 15.44656f, -5.98505f, 4.65633f, 5.46422f, -17.09290f, -5.86830f, 2.63016f, -17.99551f, 5.90434f, -5.12176f, -19.06218f, 10.23841f },
{ 5.48056f, 18.29822f, 5.86320f, -10.95978f, 20.51785f, -8.71742f, -16.72502f, 2.88194f, 13.01194f, -1.44746f, -1.93269f, 22.49624f, -8.66869f, 14.20900f, -4.84103f, -12.35727f },
{ -23.22652f, -5.22804f, 3.82628f, 4.46467f, 14.91140f, -7.84713f, 16.05135f, 2.86209f, -6.19153f, 5.26663f, -24.06809f, 12.15098f, 7.56827f, -2.15911f, 11.39084f, -10.94595f },
{ 10.16455f, -9.99349f, 7.10780f, -3.19814f, 0.26044f, -4.12817f, -1.20986f, -1.87737f, 4.26754f, 10.69645f, 8.58994f, -5.78293f, 1.74301f, 16.18704f, 4.50530f, -6.72857f },
{ 2.49672f, -8.70114f, 15.02549f, 18.30713f, -22.09426f, -4.15068f, -0.77172f, 3.07862f, 7.91395f, 4.65623f, -6.62896f, -13.94818f, -10.55495f, -12.86327f, -4.01044f, -4.98143f },
{ -0.88649f, 14.33669f, -4.05086f, 0.28190f, -7.02783f, 15.88123f, -4.09426f, -3.27243f, -2.80742f, -4.68476f, 8.37665f, 0.36477f, 2.62474f, -5.07785f, 3.22917f, 9.18077f },
{ -0.83452f, 16.68978f, -7.22050f, 9.74876f, -20.34348f, 6.64129f, 3.15358f, -12.96391f, -3.20374f, 12.52968f, 10.01821f, -13.07818f, 23.25487f, -6.79496f, -7.79257f, 14.98398f },
{ 1.14311f, -6.36493f, -8.70585f, 7.63665f, 15.71207f, 12.08828f, -1.43077f, 13.66014f, 1.72347f, -6.03431f, 12.29010f, 13.26677f, 16.33244f, -3.89609f, -3.51711f, 3.40948f },
{ -0.77781f, -4.02223f, -3.81275f, 21.11471f, -3.88639f, 11.14222f, -16.07688f, -6.75586f, -15.30772f, -14.68227f, -8.37664f, 6.74345f, 5.40159f, 6.38980f, 4.73640f, -14.00993f },
{ 7.34123f, 10.15962f, 7.24858f, 17.12111f, -16.13284f, -10.93223f, 7.56867f, -4.45042f, 7.23841f, -11.90329f, 13.16599f, -9.09342f, 9.81624f, 0.66895f, -12.08991f, 0.43679f },
{ -11.48026f, -1.82003f, -5.48933f, 0.86125f, 7.84480f, 8.43286f, -12.03857f, -10.92971f, 3.23911f, 3.72323f, -7.49321f, -10.00687f, -6.14655f, 17.62981f, 7.43661f, 6.84601f },
{ -0.98794f, -7.95014f, -11.03221f, 3.55763f, -2.79591f, -3.95020f, 0.31079f, 5.63143f, -5.09403f, -12.05616f, 12.23634f, -13.72447f, -2.15376f, -3.25213f, 26.85395f, -9.30564f },
{ -11.87901f, 11.95200f, 2.67020f, -11.78793f, 3.00134f, 1.32919f, 0.96466f, 2.36076f, 0.91700f, -4.72564f, 3.67838f, 2.10728f, -4.29766f, -6.46357f, -12.94067f, -16.25678f },
{ -4.83013f, -5.31409f, -25.32664f, 14.00689f, 3.08308f, 2.95751f, 6.23985f, -1.83760f, -0.54245f, 7.14678f, 9.57229f, 3.07976f, 4.47309f, -21.02635f, 2.91227f, 9.54631f },
{ -7.53678f, 7.18963f, -0.58157f, 2.09524f, 1.70881f, 7.36105f, -18.78728f, 0.66804f, 6.96647f, 0.82317f, 5.26374f, 4.17760f, 10.07544f, -8.32187f, -21.43390f, 0.14368f },
{ 15.72356f, 2.20294f, -3.74296f, -7.44927f, -10.95550f, -0.10093f, -3.18479f, 12.00542f, 8.16330f, 10.58736f, 7.28502f, 12.82835f, 0.98159f, 8.75997f, -3.19240f, -11.14751f },
{ 0.31690f, -9.87040f, -6.21587f, -4.10428f, 0.34758f, 4.73411f, 10.97652f, 9.27842f, 1.27548f, -5.29766f, -8.39670f, 9.79290f, 9.22103f, -15.86289f, -0.01961f, 8.34798f },
{ -8.61054f, 4.14872f, 1.34720f, -21.67615f, -3.30261f, -21.38462f, 4.52770f, -0.94849f, 13.41761f, 19.57108f, 3.92898f, -9.27911f, 7.10965f, 4.12171f, 4.83934f, 9.76469f },
{ 8.18520f, -12.08538f, 17.49469f, -10.31436f, -13.79203f, 5.08587f, 9.85444f, -10.31218f, -13.62409f, 6.03868f, -9.81738f, 4.41964f, -17.24209f, 4.03209f, -2.56948f, 4.55860f },
{ 20.26330f, 7.16119f, -7.10570f, -5.56937f, 1.72503f, -8.10606f, -1.78815f, 4.17752f, 9.22005f, -6.50552f, 17.00824f, -6.43749f, 12.33186f, -4.25616f, 19.83804f, 0.12768f },
{ -10.14941f, 16.96831f, 1.01073f, -2.46964f, -13.88095f, -13.16362f, -1.79183f, -18.91341f, -1.52260f, -3.37282f, -14.10639f, 3.67323f, 6.88438f, -3.95197f, 5.18159f, 15.73310f },
{ 0.04717f, 0.36022f, -0.03781f, 13.76628f, 13.99623f, -2.63162f, -25.84095f, -8.54765f, -6.25494f, 7.21802f, 13.18062f, -21.91733f, 17.59304f, 16.78333f, -2.93749f, -13.56541f },
{ 5.39495f, -2.11240f, 10.60991f, -14.06013f, -14.70461f, -3.71712f, 11.43976f, 5.01592f, 2.11024f, -3.46242f, -0.69589f, 2.32278f, -10.64099f, 6.10768f, 11.70373f, 20.98509f },
{ -4.76682f, 1.06514f, -11.22798f, -0.13039f, -14.57121f, -11.93020f, 15.70413f, -0.45612f, 19.51680f, -4.82434f, -7.29521f, -14.00680f, 4.46318f, -3.01301f, 14.07596f, 4.38662f },
{ 5.72787f, 3.40613f, 12.42556f, -12.31218f, -8.01470f, 1.09554f, -0.40869f, 16.70734f, -18.69056f, -6.13669f, -10.49991f, -11.27890f, 0.70496f, -14.34365f, -0.91615f, -2.57238f },
{ 6.80478f, 3.19733f, 10.51160f, 8.80091f, 7.46993f, 17.18397f, 0.30626f, 9.21679f, -12.31524f, -10.50452f, -1.37342f, -9.21989f, 2.90153f, 7.86346f, 13.96850f, -2.00215f },
{ 11.14693f, -4.15542f, 15.29428f, -5.98088f, 3.28160f, 8.69094f, 19.52190f, 14.53836f, 4.28275f, 9.71268f, -16.06616f, 16.58677f, -9.73264f, -9.84511f, 0.76673f, 0.54119f },
{ 7.20016f, -13.89717f, 9.63361f, 5.86236f, 2.69374f, -1.82672f, 2.01317f, -4.51797f, -9.66650f, -1.39389f, -12.97029f, -1.47300f, -4.08421f, -9.96374f, 26.50782f, 12.94797f },
{ 12.76688f, 8.79869f, -6.57000f, 3.60535f, -3.76784f, -1.29155f, 7.30857f, -16.69632f, 4.98888f, 11.38671f, 15.10845f, 18.29524f, 4.27229f, -12.91730f, 9.29706f, -17.99003f },
{ -10.68304f, -15.99096f, 21.05446f, -17.01423f, 3.41804f, 4.51975f, 1.46905f, 12.76277f, -18.50766f, -8.34520f, 0.06803f, -0.74653f, -12.54838f, -12.58792f, -14.05451f, 16.70435f },
{ 0.85571f, 6.99256f, 13.79163f, 8.96094f, 2.25500f, -1.77737f, -0.87620f, 15.68129f, -2.69774f, 10.16787f, -18.14071f, -0.25635f, 12.46696f, -13.94054f, 6.40475f, 22.69101f },
{ -10.53381f, -1.20469f, 3.21457f, -4.76303f, 1.14489f, 2.17341f, -9.37017f, -5.24753f, 11.52515f, -18.20407f, -0.29493f, -2.31283f, 2.12981f, 0.97051f, -5.20653f, -12.95858f },
{ 10.57101f, -14.86197f, -10.19980f, -1.93696f, -4.20645f, -17.67104f, 7.73274f, 5.75083f, -12.69009f, -6.25246f, -9.52129f, 7.06696f, -4.92349f, 13.24114f, 9.76194f, -10.39594f },
{ -7.61314f, 15.48118f, -7.49267f, -13.31292f, 4.18056f, -17.07155f, 5.82533f, -4.42216f, 0.78945f, -3.49663f, -1.02202f, -20.63659f, -3.74815f, -4.03267f, -21.68294f, 0.21605f },
{ 18.35469f, -14.87757f, 0.38834f, 13.11564f, -7.37951f, -1.42248f, 27.25969f, -15.21310f, -12.24000f, -4.37453f, -0.55343f, 3.85089f, 0.27557f, 7.45455f, -28.14852f, -12.42460f },
{ 9.87537f, 12.10640f, -14.40400f, -10.51805f, -1.85655f, -12.64225f, -11.15460f, -14.35691f, -0.39983f, -10.03841f, 12.57216f, -0.27132f, -1.01068f, 5.48369f, 24.55430f, -10.49519f },
{ 13.74602f, 12.07763f, -6.64651f, 0.99957f, -1.60588f, 5.25517f, 12.27393f, 7.73648f, 4.38339f, 7.37280f, -8.14669f, -15.43807f, 18.52985f, 7.22293f, 9.27722f, -7.72570f },
{ 2.44089f, 2.27200f, -10.75044f, -4.58860f, -1.68354f, -3.15519f, -0.13620f, 23.86923f, 12.18014f, -6.00285f, -16.78799f, 1.73532f, -9.96224f, -12.73159f, 1.40341f, 4.92497f },
{ -7.99433f, -0.50705f, 10.51123f, 21.62022f, 7.79639f, 2.46178f, 19.72198f, -13.12557f, 7.68318f, 0.78892f, -6.98550f, -11.90683f, 5.97985f, -8.47961f, -3.14966f, 12.84553f },
{ 5.54800f, -11.31684f, 5.45043f, 5.47941f, 13.71958f, 13.31942f, 4.64208f, 2.42213f, -3.16523f, -5.65814f, -3.28486f, -6.44848f, -2.45162f, -8.16945f, -12.52948f, 7.04455f },
{ -3.12673f, -10.13693f, -10.15975f, -1.92587f, -0.28374f, -2.55146f, 8.27072f, -3.26185f, -21.48804f, 7.08217f, -2.04161f, 10.37864f, 14.11961f, -16.07739f, -1.38004f, 13.22616f },
{ 22.47846f, -3.49088f, -9.58294f, -10.76758f, -3.52575f, 1.86301f, 10.90106f, -12.84496f, 9.51827f, 6.30670f, 7.40040f, 8.82780f, 1.14947f, -6.41754f, 6.80202f, 16.80815f },
{ 3.91920f, 14.99440f, -4.25846f, 4.92056f, -3.44826f, 17.41622f, -6.83363f, -0.86162f, 15.40683f, -7.88940f, 32.77030f, -9.88034f, -10.59068f, 4.87487f, -9.33875f, 2.20596f },
{ 2.07776f, -0.21141f, -1.97182f, -0.04536f, -3.71335f, 0.68104f, 5.13859f, 0.24853f, -10.53232f, 2.37018f, -16.39765f, -2.59158f, -14.33090f, -19.74102f, -13.96008f, -4.87795f },
{ -11.20197f, -11.08079f, 10.08113f, -12.28051f, -4.89398f, 6.62565f, 4.77714f, -12.32479f, 2.56317f, 0.72106f, 5.91195f, 0.04518f, 2.42507f, -13.10408f, 3.58592f, 0.12801f },
{ 16.71878f, -13.64647f, 4.24366f, 10.43995f, 1.96331f, -8.02308f, 5.74516f, -9.66173f, -5.57508f, 9.56370f, -7.07497f, 12.25218f, 0.51307f, 4.22444f, 2.17092f, 10.73758f },
{ 11.23459f, 2.31851f, 17.12661f, 24.98727f, 7.18481f, -0.67737f, 0.54852f, -21.44900f, -17.60914f, -7.94860f, 3.49858f, 2.14984f, 15.42532f, -12.99031f, 15.04854f, -5.86692f },
{ -2.49923f, -10.99959f, -5.16424f, 12.00326f, 10.21865f, -7.69041f, 15.62752f, -7.80885f, 3.34270f, 2.78573f, -0.36354f, -2.50802f, 3.35982f, 1.13121f, 18.06809f, 5.98310f },
{ 12.91232f, -17.70336f, -21.33934f, -24.86517f, 17.42065f, -4.99921f, -10.12410f, -17.28800f, -10.26826f, 0.57365f, -0.47277f, 16.50285f, -2.27474f, -5.45674f, -3.74674f, -8.58742f },
{ -3.52639f, -7.64108f, -7.84562f, 9.37408f, 1.30745f, 5.43315f, 11.72023f, -1.89967f, 15.97219f, 14.62529f, 11.17359f, -6.83857f, -1.24707f, 5.98420f, 3.92248f, 6.30691f },
{ -4.76989f, 20.51814f, 17.95075f, -3.43213f, -4.81258f, -2.74970f, 4.96628f, -3.40910f, -2.39981f, -2.27971f, 10.01437f, 13.19836f, -8.36859f, 5.78538f, 8.38063f, -5.89331f },
{ 21.73968f, 5.32510f, 10.26804f, -19.91265f, -11.50276f, 10.69546f, -3.01455f, -14.03686f, -6.21733f, 8.20010f, -0.87766f, -6.60245f, 12.17958f, -20.92779f, 6.17392f, 11.36988f },
{ -4.44025f, -13.63116f, -9.07655f, 4.30601f, 4.01358f, 23.15618f, -0.69995f, -1.59196f, -3.93293f, -8.06371f, 1.76282f, 3.42742f, -9.99383f, -4.17924f, -4.95845f, 11.63144f },
{ -7.51711f, -2.90302f, -15.62290f, -13.23529f, 19.83276f, 7.17625f, 4.59764f, 7.35846f, -3.80991f, -9.48361f, 6.71161f, -10.06761f, -1.35207f, 25.27923f, 22.18910f, -12.12864f },
{ 0.99096f, 4.63193f, 6.67739f, -8.31606f, 1.67946f, -2.37111f, 1.77019f, -9.24607f, 23.46302f, 6.81701f, -8.93316f, 12.91182f, 3.47776f, -9.03509f, -25.90466f, 12.63460f },
{ 3.55308f, 12.70915f, -8.26215f, 12.07660f, -0.41728f, -5.00830f, 17.36465f, 7.60853f, -2.64899f, -3.63478f, 8.43568f, -11.75687f, 7.97096f, 3.70719f, 1.64003f, 10.84502f },
{ 11.32616f, 19.38296f, 0.66125f, 6.31059f, -16.44225f, 2.07487f, 9.90681f, -14.75189f, 2.28705f, -8.14983f, -16.66049f, -0.39798f, 24.81476f, -5.73868f, -5.90964f, -4.75617f },
{ -14.45928f, -9.32638f, -19.64531f, -5.90280f, 6.59309f, 22.13566f, -2.84308f, 1.66127f, 12.63242f, 22.33205f, -9.06980f, 15.30346f, -21.69407f, 5.99051f, -1.72353f, 3.74855f },
{ -2.39704f, 3.12510f, 2.65603f, 2.10628f, 4.88106f, 0.32267f, -8.32922f, -8.55907f, 14.22596f, -9.09968f, 8.89065f, -0.17811f, -8.77711f, 10.51081f, -9.45176f, 6.14533f },
{ -8.01577f, -18.98465f, -3.58096f, 19.99304f, -16.18861f, 6.27097f, 17.51411f, 15.22081f, 9.70316f, 9.55767f, -20.06173f, -5.58356f, -1.54114f, 5.70782f, -21.51083f, 10.82168f },
{ 11.26728f, -11.00105f, 14.60227f, 8.71440f, 1.49672f, -2.28282f, 8.84264f, -3.63862f, -5.17510f, 7.76076f, -8.53063f, 10.49564f, -8.60522f, 3.18704f, -12.87813f, 10.56591f },
{ -5.02916f, -12.53067f, -4.25198f, 5.11509f, 7.10801f, -0.51915f, -4.02725f, 0.02134f, -7.88988f, -3.12986f, 8.57188f, -6.55225f, -2.06144f, 15.86507f, 16.00768f, -6.57942f },
{ -4.28847f, 4.40139f, 17.68994f, -2.37103f, -3.75904f, 2.45491f, 2.20748f, -20.29460f, 5.80867f, -1.29637f, 17.06609f, -4.91540f, 2.64536f, 9.62678f, -14.88149f, 1.69999f },
{ -3.47764f, -6.69145f, -2.14238f, 1.42532f, 1.78724f, -16.17710f, 16.78074f, 16.54990f, -2.28862f, -8.66988f, 0.19252f, 0.12719f, -9.26389f, -2.64125f, -0.09589f, -15.15499f },
{ 1.93166f, -5.96233f, -1.43619f, -30.91472f, 7.25510f, 12.17359f, 8.54813f, 7.76386f, -16.30963f, 0.30552f, 10.99174f, 1.39560f, 1.00967f, -2.43429f, -5.79160f, -7.88208f },
{ -12.65757f, 2.59377f, -27.16107f, -4.67083f, -8.87447f, 5.77999f, 8.77646f, 2.74378f, -7.17789f, -19.65279f, 3.25694f, 19.37415f, 8.03618f, -11.15578f, -25.15016f, 13.05358f },
{ -11.85128f, -22.80225f, -9.16489f, 10.85711f, 7.60033f, -6.85434f, 12.94371f, -11.83646f, -13.40263f, -8.34085f, 19.36530f, 4.08649f, -10.42588f, -4.21745f, 6.93818f, -4.66600f },
{ 15.55866f, -14.91318f, -4.60667f, -1.76442f, -7.14374f, -9.95171f, 3.19948f, 7.86515f, -13.02964f, -7.94045f, 13.39748f, 5.72824f, -10.29386f, -17.74056f, 5.32380f, -7.14712f },
{ 30.98498f, -5.27695f, -7.81734f, -18.02592f, 4.71762f, 1.35201f, 7.31085f, -5.36794f, 18.70973f, -6.22769f, 0.25251f, 10.90483f, -10.23605f, -19.22058f, 7.39541f, -12.05520f },
{ 10.71433f, -8.05178f, 3.33302f, 16.88296f, 11.37328f, -1.93632f, -6.25387f, -8.00411f, 9.59217f, 4.32100f, -3.31992f, 2.06531f, -9.17168f, 2.38413f, -18.80298f, 17.48020f },
{ 3.40618f, -4.99577f, -28.37621f, -4.88017f, -1.59299f, 16.44167f, 2.85082f, 5.80025f, 4.22552f, 1.04019f, 8.27158f, -3.76949f, 8.06557f, 6.05818f, 2.82001f, -9.70126f },
{ 10.45919f, -14.58007f, 5.17014f, 4.22235f, -7.84289f, 3.85403f, 0.66289f, 11.33411f, -6.22408f, 5.71626f, -5.36184f, -1.40442f, 18.54868f, -11.59915f, 1.31124f, -2.14048f },
{ 4.36358f, -22.77246f, -7.54959f, -3.27566f, -3.01318f, -2.92750f, 15.54462f, 13.23311f, 7.97882f, 12.99324f, -1.41832f, 0.44082f, -4.50950f, -8.68517f, 11.41089f, 0.58617f },
{ -16.00734f, 14.96829f, 3.33995f, -1.20753f, -17.56341f, 12.38312f, 3.11882f, -7.57669f, 18.68795f, -2.37453f, -5.06829f, -9.91693f, 11.34351f, -14.56683f, -16.73887f, -27.45322f },
{ -13.45342f, 4.48515f, 0.17917f, -1.11261f, 6.68214f, 10.96956f, 9.19013f, -2.23082f, 12.86217f, 14.72794f, 2.03978f, 8.17379f, -11.28459f, 4.64411f, 2.57007f, 2.74858f },
{ 7.02344f, 10.34208f, -3.31954f, -1.52931f, -21.06600f, 3.07553f, 6.88303f, 5.47823f, 21.59142f, -1.63784f, 2.71878f, 0.75818f, 3.47783f, -10.41487f, -15.96757f, -9.02309f },
{ -11.64703f, -12.06528f, -11.91925f, -0.24759f, 14.16316f, -1.82670f, 9.72970f, 7.73172f, -5.27163f, 0.47783f, -3.02460f, 0.47770f, 5.35790f, 4.06699f, 4.53629f, 23.89873f },
{ 10.87273f, -4.43895f, -9.89484f, 2.28064f, -0.39909f, 8.89697f, 4.99058f, 3.27951f, -2.66785f, -3.87971f, 9.81937f, -5.88418f, 10.29918f, -14.47712f, -29.25746f, -10.89967f },
{ 29.95825f, -5.54557f, -7.91246f, 6.13504f, 3.45043f, -9.25050f, 5.89306f, -17.31287f, -4.42781f, -1.96859f, -8.44503f, 16.84382f, 16.28420f, 8.47630f, 4.30600f, -10.37517f },
{ 6.41220f, 3.80121f, 3.17489f, -1.76474f, -3.62322f, 12.53348f, -4.20200f, 7.78123f, -5.65056f, -0.39350f, 8.41555f, 7.04453f, -1.85306f, -7.94893f, -16.03944f, -2.54348f },
{ 7.88204f, -2.46680f, 1.07787f, 8.37289f, 0.60688f, 11.54138f, -5.77090f, -8.47811f, -9.06326f, -0.55887f, 4.48576f, 10.40781f, -0.45175f, -2.20540f, 9.88417f, 19.30563f },
{ -3.23641f, 4.31750f, 3.66745f, -20.19832f, -1.22518f, -7.74553f, -7.41396f, 7.77042f, -11.58240f, 23.32964f, 19.28531f, -6.08503f, 1.27914f, -2.81018f, -7.62790f, -8.19532f },
{ 12.67898f, -10.17477f, 25.44997f, 2.60326f, -3.94197f, -11.46401f, 3.44997f, -5.51716f, 2.11553f, 8.96116f, -3.94391f, 7.66281f, 7.29374f, 2.43532f, 25.05760f, -4.25367f },
{ 1.39271f, -7.82672f, -11.83065f, -4.94296f, -1.61496f, 20.84762f, -3.02944f, 6.93165f, 7.24030f, -1.96818f, -6.49571f, 4.79106f, -9.71177f, 3.12791f, -11.98043f, 8.71736f },
{ 2.23587f, -4.89405f, 7.53575f, -7.71553f, -6.45927f, -4.37613f, -7.43754f, 7.88913f, -10.57931f, 11.60033f, -7.94255f, 5.32183f, 16.20131f, 12.52044f, 10.89712f, -4.63246f },
{ -13.47367f, -22.96614f, 7.70937f, 3.68126f, 19.88929f, -6.68161f, -11.90420f, -23.16998f, 4.25047f, 18.47584f, 8.83290f, 3.62536f, 10.74723f, 9.78244f, 11.07676f, -6.21056f },
{ -6.94756f, 14.16176f, 13.85061f, -16.81696f, 2.41055f, -13.76724f, -20.77087f, -13.56065f, 2.03030f, -8.63923f, -6.30699f, -6.21872f, 8.20613f, 17.25787f, 10.52276f, 5.51385f },
{ -11.56897f, -3.60574f, 3.64321f, 5.10656f, 0.29251f, -9.88791f, -0.14206f, -5.49974f, -8.21492f, 23.35681f, -4.71544f, -14.47411f, 7.15715f, 4.28289f, -17.70526f, 4.17243f },
{ 2.20047f, -11.11841f, 14.45942f, -17.11698f, 7.32805f, -8.05153f, 1.27117f, -0.54666f, -15.44448f, -2.42093f, 11.66809f, -3.47388f, -12.32300f, -3.02790f, -4.44921f, -13.48995f },
{ -22.97501f, 13.01421f, -5.77514f, 3.09900f, -3.06724f, 6.88047f, -11.67438f, -0.91962f, -5.14915f, -16.40230f, -7.06625f, -10.41680f, 19.17205f, -6.35808f, -1.94274f, -1.60652f },
{ -2.00404f, -7.56027f, 12.45338f, 22.20411f, -5.49450f, 2.97454f, 5.57276f, -6.66061f, -10.99118f, 14.41790f, 1.06647f, 12.91587f, -13.70732f, 16.86961f, -12.25332f, -4.52500f },
{ -6.43804f, -0.26701f, 9.36495f, -10.77706f, -11.64858f, 4.17088f, 6.24897f, 6.51695f, -1.86101f, 12.48150f, 13.36085f, -5.37450f, -3.38595f, 2.60416f, 5.70755f, 1.03790f },
{ 2.79945f, -8.24382f, -9.18859f, 0.07380f, -0.62403f, 20.04972f, -0.47979f, 22.91882f, -2.76766f, -4.80101f, -15.15715f, 2.26302f, -4.57063f, -13.29678f, 3.94464f, -7.95103f },
{ 9.13648f, 3.44504f, 2.87722f, -8.73536f, 7.69904f, 2.95101f, -9.93340f, 4.60608f, 10.55647f, 12.70029f, -5.78901f, -12.08612f, 11.80803f, -2.56907f, 6.65510f, 4.40695f },
{ 5.37622f, 1.39239f, -13.54973f, -1.20374f, 2.95297f, 8.22002f, 0.69295f, -12.39184f, 7.79337f, 2.89218f, 0.93118f, -11.30530f, 10.79769f, 8.05375f, -10.25660f, 2.32127f },
{ -3.71216f, 7.58504f, -9.05175f, -2.51234f, -14.50605f, -0.60052f, 3.14027f, -3.24073f, -2.82767f, 4.96008f, -1.46926f, -10.38145f, 11.37004f, -1.94845f, -1.04795f, 3.57654f },
{ -10.74752f, -1.44140f, 22.77904f, 0.87742f, 3.94397f, -7.26923f, 6.97400f, -22.27377f, 4.95895f, -4.84959f, 6.60969f, 0.21857f, -16.97568f, -0.90386f, -4.95530f, -23.65469f },
{ 5.73342f, 6.38546f, 0.03090f, 2.50905f, 3.21695f, -2.01997f, 3.01416f, 0.48434f, 5.77890f, -22.08145f, -4.66930f, -4.70801f, 9.75893f, 2.52021f, -11.29311f, -5.03637f },
{ 7.06570f, 7.40199f, 4.57478f, 4.82853f, 1.12554f, -5.84582f, 12.58081f, 3.22516f, -8.13755f, -16.46418f, 2.08000f, 2.99624f, 0.28650f, -9.63209f, 0.70690f, -2.36753f },
{ 0.77322f, -5.28063f, 16.76834f, -21.54522f, -5.33712f, 9.36951f, -6.66599f, -8.62462f, -3.62479f, 15.99924f, 19.49154f, -18.01080f, 2.45970f, 5.11815f, 5.32940f, 3.36911f },
{ -2.55517f, 7.99214f, 1.96200f, -1.41883f, 6.97993f, 14.99890f, -10.71465f, 17.96854f, 2.21374f, 0.08304f, -17.53792f, -2.68034f, -3.94300f, -0.17914f, -8.43660f, -4.13614f },
