{
{ 0.08144f, -0.76467f, 0.16752f, 1.75935f, -1.41071f, -1.34018f, 0.90333f, 1.01198f, -1.29336f, -0.10368f, 2.27721f, 0.09245f, 0.25523f, 1.51169f, -0.95130f, 0.06777f },
{ 0.32902f, -0.17273f, 0.56154f, 0.22478f, -1.30964f, 0.48154f, -0.01613f, -1.50929f, 1.34656f, -1.98400f, -0.43053f, -1.30938f, 0.54141f, 0.85206f, 1.19394f, -0.02474f },
{ 1.58894f, 0.66702f, -0.15310f, -0.80288f, -2.12433f, 0.78625f, 0.01904f, 0.53188f, -1.34194f, -0.05122f, 0.37756f, -0.11018f, -0.58766f, -0.65404f, 0.80702f, -0.65191f },
{ -0.00764f, -0.80594f, -0.22432f, -0.99422f, -0.32722f, 0.19648f, -0.70286f, 0.27405f, -1.42217f, -1.01812f, 0.75957f, 1.21691f, -0.71581f, 2.10492f, -1.98884f, 1.08082f },
{ 1.15817f, 0.04087f, -0.36877f, 2.07528f, 0.88318f, -0.16770f, 0.54588f, 1.49770f, 2.08883f, -1.50663f, -0.23574f, -1.18290f, 0.84469f, -1.97713f, 0.87305f, -0.16793f },
{ 0.35980f, 0.81970f, 0.25169f, 0.74306f, -1.02728f, 0.14551f, -0.33318f, -0.26911f, -1.23689f, 0.24554f, -0.37423f, 1.27757f, -0.64789f, 0.66855f, -0.24882f, 1.61365f },
{ 1.34014f, 1.67439f, -0.56527f, -0.48353f, 0.85487f, 1.64374f, -0.47974f, 0.35096f, -0.17459f, 1.10650f, 2.35881f, -1.12865f, -0.69292f, -1.53333f, -0.04932f, 0.78185f },
{ -1.13911f, 1.30663f, 1.59217f, 2.18799f, -0.03697f, -1.35282f, -0.64891f, -0.77542f, 0.40874f, -0.54043f, 1.33629f, 0.96384f, 0.54048f, -1.51915f, 0.67898f, 2.27152f },
{ 0.88391f, 0.90388f, -0.10619f, -0.70358f, -2.33965f, 0.79602f, -0.54080f, -1.41023f, -1.48122f, -1.12793f, 0.59060f, -1.21270f, -0.22338f, 1.26792f, -0.30410f, -0.25534f },
{ -0.45537f, 0.02518f, 0.34246f, 0.66652f, -0.82049f, 1.05645f, -0.63070f, -0.67846f, 0.78646f, 0.82198f, 1.39308f, -0.67141f, -0.30468f, -1.54180f, -1.62056f, -0.92244f },
{ 0.69228f, 0.84845f, -0.79269f, 0.95806f, -0.41520f, 1.44604f, -0.09326f, -0.72732f, -0.20417f, 0.95944f, 0.83679f, 1.01835f, -0.59344f, -0.35294f, 1.76967f, -1.06207f },
{ 1.51437f, 0.12294f, -2.96247f, 0.51221f, 0.10739f, -0.78806f, -0.33864f, 0.04178f, -0.63258f, 1.37502f, 3.56555f, 0.07920f, 0.44269f, 0.22252f, 0.01177f, 0.18625f },
{ -0.51595f, -1.21545f, 0.22608f, -0.67701f, -0.16805f, -1.38648f, -0.22093f, -1.44180f, -1.74357f, -0.23860f, 0.12051f, -0.33748f, 1.41717f, 0.65716f, 0.11409f, 0.03379f },
{ -0.34408f, 0.31952f, -1.22761f, -0.81529f, 0.29054f, -0.50682f, -0.11868f, 0.53244f, -0.19500f, -0.33088f, 0.00511f, 2.03574f, -0.23653f, 1.13801f, 1.06977f, -1.96766f },
{ 2.42072f, -0.69223f, 0.90612f, -1.09954f, 0.46522f, -0.01497f, 0.58620f, 2.05157f, 0.33919f, 0.25254f, 0.71777f, -1.44161f, 0.78754f, 0.22222f, -0.58356f, 1.25050f },
{ 1.83813f, -1.00458f, 0.59437f, 0.27768f, -0.18422f, 1.15184f, -0.08923f, 0.38582f, -2.72337f, -2.97385f, -1.98219f, 0.17357f, -1.50086f, -1.00981f, 1.73409f, -0.13534f },
{ -0.02980f, 0.82352f, 1.41765f, -0.75440f, -0.13073f, -0.29805f, -0.32825f, 1.20107f, -0.72350f, 0.27327f, -0.08836f, 0.10451f, 0.13028f, 0.49867f, 0.68931f, -1.12996f },
{ -0.78215f, -0.28764f, 1.09389f, 0.68119f, 1.36366f, -1.30783f, 0.55764f, -1.14399f, 0.61052f, 0.43561f, -1.69652f, -1.96773f, 0.66550f, 0.84588f, -0.34281f, -0.82966f },
{ -0.60523f, -0.44691f, -0.80601f, 0.54186f, -2.33498f, -1.84495f, -0.61017f, 0.03629f, 1.17032f, -1.68919f, -0.49317f, 0.84554f, -0.40197f, -0.09475f, 1.28716f, 0.76913f },
{ 0.77812f, 0.45401f, -0.85784f, 0.29896f, -0.24034f, -1.03198f, 0.65637f, -0.99661f, 1.23362f, -0.45228f, -0.24283f, 0.45154f, -0.20595f, -1.00955f, -0.62495f, 1.32332f },
{ -0.17059f, -0.36910f, 0.55579f, 2.04136f, -1.45096f, -1.03137f, 0.07527f, -0.25278f, 0.58455f, 1.05079f, -0.12561f, 0.15955f, -0.49331f, 0.27757f, -0.81746f, -1.16558f },
{ -1.84180f, 0.17918f, -0.73690f, -0.38676f, 0.29350f, -0.35884f, -1.61676f, -1.68935f, 0.43243f, 0.60022f, 0.21407f, 0.98216f, 0.10947f, 0.52200f, -0.49424f, 0.11097f },
{ -0.76791f, 0.77438f, 0.10595f, 0.52112f, -0.08263f, 1.02702f, -2.46513f, -0.25347f, 1.14617f, -1.87220f, 0.70701f, -0.40373f, -0.17033f, 0.62592f, -0.99919f, -0.32150f },
{ -0.98050f, -0.90587f, -0.95444f, 0.32513f, -1.24661f, -2.37218f, 0.21400f, 2.49039f, -0.33771f, 1.03365f, 1.01469f, 1.41794f, -0.53313f, 0.42080f, 0.68576f, 1.11615f },
{ 0.82244f, 0.34395f, 0.72741f, -0.32454f, -0.24049f, -0.00975f, 0.82340f, -0.70847f, -1.31783f, 0.32070f, 0.15774f, -0.01766f, 0.97820f, 0.98281f, -1.17561f, -0.68645f },
{ 0.48845f, -1.04882f, -0.31096f, -0.00932f, -0.12923f, -0.52688f, 1.66122f, -0.90134f, 0.53383f, 0.24160f, 1.13657f, -0.78930f, 0.01440f, -0.80545f, -0.61655f, -0.72211f },
{ -0.21983f, -0.34145f, 0.56044f, -0.88128f, 0.58036f, 0.56603f, 0.32167f, 1.38744f, -0.81520f, 0.61109f, 0.01613f, -0.85360f, -0.24770f, -0.04155f, 1.66921f, 0.38214f },
{ 0.43425f, -0.22392f, -0.77378f, -0.15697f, 2.50024f, 0.30819f, 0.17156f, 0.74940f, 0.55344f, 0.80198f, 0.05692f, -1.27176f, 0.33697f, 0.07908f, -1.24546f, 1.26552f },
{ 0.16884f, 1.01988f, 0.48172f, 0.44381f, 1.43124f, -1.00869f, -1.51028f, -0.14149f, 0.79643f, 0.00736f, 1.43413f, -0.18366f, -0.58261f, -1.70412f, -0.45801f, 0.71578f },
{ -0.10280f, 1.12215f, 1.24359f, -0.33707f, 0.39180f, -0.96406f, 0.66148f, 0.17891f, 0.48579f, -1.26802f, 0.45913f, -0.17956f, -1.06097f, 0.08537f, -1.72975f, -0.03915f },
{ -1.19954f, -0.73167f, 0.88604f, 1.07527f, -0.81989f, 0.20678f, 0.24686f, -0.22086f, -1.08768f, -0.08474f, -0.42946f, -0.19159f, -1.09182f, 1.18098f, -0.24594f, -0.65261f },
{ 1.41206f, 1.35027f, -0.14557f, -0.78319f, -0.76600f, -1.74015f, -0.62332f, -0.31160f, -1.61121f, 0.85260f, -0.69765f, -0.31772f, -0.72499f, 1.11718f, 0.65086f, -0.55849f },
{ 0.44574f, 0.48422f, 0.40035f, -0.45756f, 0.83548f, -0.15431f, 0.87490f, 0.17102f, 0.14838f, -0.32380f, 0.93249f, -0.25286f, 1.02668f, -0.02359f, 1.10793f, 0.02373f },
{ 0.65366f, -0.65666f, 0.89576f, -0.85253f, 1.47104f, 0.07864f, 0.43261f, 0.94800f, -0.19372f, 0.00645f, 0.32124f, -1.04088f, -1.71839f, 0.00255f, -1.00630f, -0.71672f },
{ -0.52330f, 1.36600f, -0.57934f, 1.49271f, 0.36475f, -0.80411f, -0.01035f, -1.33294f, 0.89627f, 1.75104f, -1.24587f, -0.70306f, 1.59824f, 0.09817f, 0.62387f, -1.19972f },
{ 0.52133f, 1.29823f, -1.14911f, 0.62689f, 0.55787f, 0.39718f, -0.52214f, -0.89450f, -0.43234f, 0.73113f, -1.15633f, -0.58400f, 0.06295f, -0.14677f, 0.41781f, -0.29941f },
{ -1.29254f, -0.60308f, 0.83785f, -0.41448f, -0.60405f, 0.32424f, 0.73218f, 0.27430f, 1.16661f, 1.06450f, -1.00643f, 2.62584f, 0.09676f, -1.09599f, -0.35616f, -0.59722f },
{ 0.97623f, -0.87249f, 1.08817f, 0.45954f, -0.18248f, 0.01802f, -1.52470f, -0.91079f, -2.01568f, 0.28282f, 0.73425f, 0.75972f, 1.06340f, 1.59806f, 0.05314f, 0.79639f },
{ 0.76255f, -0.08867f, 0.00475f, -0.53718f, -0.14951f, -0.55854f, -0.51870f, 1.37055f, 0.82305f, -0.53770f, -1.71954f, -0.46593f, -0.41373f, -0.68993f, 1.01771f, 0.33425f },
{ 0.19184f, -1.10126f, 0.35259f, -0.32127f, -0.00393f, -1.24746f, -1.66658f, -0.39497f, -0.87577f, -0.67505f, 1.57412f, -1.86195f, -1.20630f, 0.74360f, 0.59351f, -1.32835f },
{ 0.35398f, 1.56604f, -2.82062f, 0.53760f, 0.24074f, -1.23848f, -0.84628f, -0.64684f, -0.47903f, -1.33641f, 0.15057f, -0.09135f, -0.15192f, 0.65175f, -0.36671f, -0.38721f },
{ -0.20316f, -0.50568f, -0.52113f, -0.36660f, -1.11507f, 1.52770f, 0.27907f, 0.67982f, 1.59745f, 1.51184f, -0.39913f, -0.70255f, 0.36223f, 0.21657f, -1.16824f, 0.60736f },
{ -0.40302f, 1.06329f, -0.44218f, -1.57372f, 0.32732f, 0.40181f, 2.29401f, 1.27016f, 0.07118f, -0.53771f, -1.44004f, 0.80057f, 2.67135f, 0.50372f, -0.11598f, 0.75599f },
{ -0.94004f, 0.29876f, 0.13916f, -0.40112f, -1.03005f, -0.73690f, -0.09059f, 1.10288f, -0.32195f, -0.06391f, -2.39744f, 1.00254f, 0.30923f, -0.11659f, -2.09870f, 0.49654f },
{ 1.04122f, 1.02272f, -1.94422f, -1.13828f, -0.92232f, 0.65024f, -1.33934f, 0.17637f, -0.06619f, -0.80643f, -1.58564f, 1.83162f, 0.63058f, -1.41189f, 1.00630f, 0.05089f },
{ -0.44891f, 1.05255f, -1.09812f, -0.03648f, 0.77891f, -0.43584f, -0.22980f, -0.50469f, -1.18226f, 0.17597f, -0.06255f, -1.35364f, -0.78183f, 0.70836f, 0.04245f, 0.85041f },
{ 1.07033f, -0.87123f, -0.75277f, 2.19069f, 1.56192f, -1.41350f, -0.64562f, -0.02019f, -0.54376f, 0.81549f, 0.56267f, -2.68739f, -0.11058f, -1.98810f, 1.23368f, 0.08568f },
{ -0.89382f, 1.34885f, -1.82537f, 0.13131f, -0.46927f, -0.37711f, -0.12467f, -0.00714f, 0.29228f, -0.11624f, -1.05635f, -1.76801f, -0.25650f, -0.50927f, -0.99527f, 1.32146f },
{ 0.72929f, -0.48191f, -0.82522f, 0.39936f, 1.42517f, 1.71829f, 0.01225f, 0.46544f, -1.14708f, -0.25163f, -0.18913f, 0.01160f, 0.94679f, 1.47967f, -1.41859f, -2.65423f },
{ 0.55698f, 2.13065f, -0.74359f, -0.73790f, 0.15691f, -0.29108f, 1.04001f, -0.73565f, -0.88046f, -0.99234f, -1.29110f, -0.63220f, -0.44527f, 0.55561f, 0.62877f, -0.89171f },
{ 0.93341f, 2.67137f, 0.69744f, -0.76500f, 1.09402f, 0.05777f, -1.61123f, -0.27578f, -2.09221f, 2.04451f, -1.58865f, -0.08364f, 0.40892f, 0.34631f, -0.36053f, -0.28370f },
{ 0.31612f, 2.06050f, -0.28748f, 0.51523f, -2.34108f, 1.02295f, 0.62434f, -1.06608f, -0.72407f, -0.48335f, -1.42482f, 0.00319f, 0.20454f, -1.33354f, 1.27279f, 0.05900f },
{ 0.34512f, 0.65471f, -0.80880f, -1.33252f, -1.11548f, -0.12203f, -1.45283f, -0.48000f, -0.45814f, 0.64110f, -0.27665f, -1.73980f, 0.72106f, -1.69955f, 0.81401f, 0.10189f },
{ -0.83279f, -0.38320f, -0.09693f, 0.71472f, -0.39068f, 0.90742f, 0.33098f, 0.80477f, 0.28012f, 0.83086f, -1.37334f, -0.52668f, -0.21517f, 0.15217f, -0.43509f, -1.51425f },
{ -0.89603f, 1.51139f, -0.78401f, 0.21429f, 0.40212f, -1.46911f, 0.37762f, -0.39663f, -0.97141f, 1.46692f, -1.24118f, 0.03724f, -0.31375f, 1.51741f, -0.63293f, 0.42715f },
{ -0.95922f, -1.12476f, 0.83408f, 1.70272f, -0.03833f, -0.96952f, 0.13559f, 0.30852f, 0.28528f, -0.59256f, 0.35776f, -1.45971f, -0.45022f, -0.90582f, 0.40151f, -0.16239f },
{ 0.87697f, -0.00402f, -0.42311f, 1.19803f, -0.91352f, -0.00314f, -0.08861f, -1.25573f, 0.97949f, -0.16451f, -0.82714f, -1.55047f, -0.40888f, 0.96078f, -0.32261f, -0.25791f },
{ -0.01022f, -0.56801f, 1.33285f, -1.03865f, 0.53689f, -0.72391f, 0.18244f, 0.10038f, -0.24146f, 0.47585f, -0.42743f, 0.43427f, -2.06607f, -1.09563f, -0.12261f, 0.22354f },
{ 0.00629f, 0.42741f, -0.76437f, -1.24774f, -1.27586f, 0.47411f, -2.44071f, -1.04125f, -1.29472f, 0.78728f, -0.85117f, 0.32073f, -0.17557f, 0.76534f, 0.69394f, -2.20834f },
{ 0.29537f, -0.61364f, 1.77296f, 1.47948f, 1.11051f, 1.59400f, 1.33702f, 0.75396f, -0.22876f, -0.64379f, -1.00767f, 1.51846f, -1.21206f, -0.91762f, 0.22025f, 0.71195f },
{ -2.01228f, 1.49398f, 1.93141f, 0.51335f, -0.37488f, -1.47332f, -0.07301f, 1.20377f, -0.22565f, -0.05154f, 0.93366f, -2.74854f, -0.15654f, 0.47115f, 0.43112f, -1.11643f },
{ 0.92874f, 0.89808f, 0.51380f, -0.23243f, 1.38051f, 0.30182f, -0.96546f, -0.94478f, 2.36158f, -0.35520f, 0.33912f, -1.68202f, -1.18492f, -0.71631f, -1.42291f, 0.50710f },
{ -0.86109f, 0.38167f, -0.87085f, -0.43911f, 1.86346f, 0.50565f, -1.18619f, 0.78363f, -0.26518f, 0.26347f, -0.39082f, -0.96778f, 0.65012f, -0.28006f, 0.86710f, -0.73912f },
{ 1.20122f, 1.25414f, 0.40806f, -1.18124f, 1.01409f, 0.29986f, -0.21503f, 1.36625f, 0.66007f, -0.45455f, 0.33791f, -1.04222f, -2.93571f, -0.35123f, -1.76654f, -0.14531f },
{ -0.47977f, -0.15094f, -1.08379f, 1.01296f, -0.22694f, 1.57542f, -0.71645f, 0.39518f, -0.63194f, 0.78671f, -0.44781f, -1.01014f, 0.02940f, 0.06891f, 1.41061f, -0.48808f },
{ 0.18685f, 0.17486f, 0.36565f, 0.18316f, 1.13754f, -1.45159f, -1.04189f, 0.38893f, 0.00167f, 0.48009f, 0.03469f, -0.81810f, 0.38372f, 1.41394f, -1.50892f, -1.20379f },
{ -1.58272f, 0.68827f, -0.59732f, 0.82259f, 1.11727f, -1.33831f, -0.87768f, 0.70366f, 0.49139f, -0.86297f, -0.05791f, -0.19845f, -1.17066f, -0.18185f, 1.31033f, -0.09920f },
{ -0.99765f, -0.45464f, -0.23504f, -0.04983f, -0.23692f, 0.17359f, -0.41194f, -0.26525f, 1.40603f, -0.37912f, 0.11028f, -1.55911f, -0.38729f, 1.47264f, -0.76303f, -1.22359f },
{ -2.46933f, 1.19056f, 0.18968f, -0.56492f, -1.61223f, 0.43022f, -0.61199f, -0.56558f, 1.11848f, 0.10551f, 1.49001f, -0.73953f, 1.52417f, 0.73526f, 0.94353f, 0.42238f },
{ -0.13167f, -0.12262f, -2.36201f, -1.08956f, -1.76854f, -0.91927f, -2.43722f, 0.05103f, -1.05361f, 1.58270f, -0.40910f, -0.68370f, 0.40462f, -1.40652f, 1.21499f, 1.44248f },
{ 0.40963f, 1.31170f, 0.39627f, 0.10755f, -1.87938f, -1.43990f, 0.75781f, -1.49891f, -0.19143f, 2.99642f, -0.73773f, 1.38686f, 0.73873f, 0.50163f, 0.58762f, -2.36313f },
{ 1.89684f, -0.88383f, 0.04942f, 0.27709f, -1.09127f, 1.11912f, 0.11216f, -0.54515f, -0.91552f, 1.22032f, 1.23397f, 0.11619f, -0.97813f, -0.71013f, 1.03495f, 0.21641f },
{ -1.10824f, 1.15757f, -1.13521f, -0.57982f, 0.43332f, -0.47536f, 2.21398f, -1.17279f, 2.23496f, -0.03666f, 0.45412f, -1.60535f, 1.13164f, 1.32529f, 0.42246f, -1.12911f },
{ 0.01863f, -0.37415f, 1.15233f, -1.87126f, 3.11256f, -0.79891f, -0.70406f, -0.79536f, 0.27420f, 0.51238f, -0.57070f, 0.06144f, -0.92043f, 0.22197f, -1.50262f, -2.09059f },
{ 0.25114f, 0.98524f, -0.43404f, 0.53855f, -0.70651f, -0.07624f, 0.52217f, -0.90959f, -2.19969f, -0.44051f, 0.16207f, 0.43805f, 0.62738f, -0.52713f, -0.19871f, 1.61940f },
{ -2.22068f, 0.54527f, -0.33759f, 0.01892f, 1.98568f, -0.42880f, -0.61273f, 0.36590f, 0.06004f, -1.54419f, -0.32539f, -1.29022f, 1.03074f, -0.71293f, 0.36183f, 0.26955f },
{ 0.38530f, -1.43860f, -0.41615f, -0.58868f, 0.04910f, -0.38695f, -0.03802f, -0.14980f, -0.52963f, 1.61120f, 0.50506f, -0.33372f, -1.73652f, -0.11000f, 0.45188f, 0.43641f },
{ 1.80895f, 0.33067f, -0.35645f, -0.63298f, -0.34473f, -1.60792f, 1.90572f, -0.83901f, 0.28327f, 0.02125f, -0.92339f, -0.56122f, 0.37017f, -0.44695f, 3.03962f, 0.32951f },
{ 0.00445f, 1.14599f, -0.57101f, -0.99343f, -0.66250f, -0.74927f, -0.09268f, -0.29741f, 1.80324f, -0.12414f, -1.17644f, -0.39986f, -0.14394f, 0.03093f, 0.36370f, 0.80814f },
{ 1.20476f, 1.66440f, 0.04830f, -0.49113f, 0.34197f, 0.28393f, -1.11084f, 0.14322f, -0.02232f, -1.09811f, -0.85810f, -1.39505f, 0.41401f, -2.15552f, 0.19564f, -1.23208f },
{ -0.98955f, -0.73523f, 1.42330f, 0.47036f, 1.25361f, 0.19430f, -0.31390f, 0.60408f, -0.52417f, 0.03676f, 0.15979f, -0.71273f, -0.35155f, -0.66996f, -0.46788f, -0.39656f },
{ -0.46525f, -1.36852f, -1.38047f, 0.05690f, 0.62820f, -0.19034f, -0.44654f, 0.22915f, -0.79868f, 0.40031f, -0.23756f, -0.24632f, -1.18602f, -0.81583f, -0.49571f, -1.02113f },
{ 0.02940f, 2.09037f, -0.14446f, 1.09950f, 0.55983f, 0.20297f, 1.39261f, 0.81971f, -0.89765f, -0.82027f, -2.77497f, -0.43278f, 0.19214f, -0.40239f, -2.00353f, 3.65204f },
{ -0.12927f, 0.99287f, 1.56442f, -1.07965f, -0.85899f, -0.76883f, -2.79381f, -0.18730f, 0.56057f, -0.78908f, 0.39343f, -0.16680f, 1.04397f, -0.53080f, 1.09695f, 1.17686f },
{ -0.22293f, -1.29828f, -0.31069f, 1.40186f, 0.99546f, -0.26927f, 2.00301f, 1.14392f, 0.62721f, 0.09055f, -0.65248f, -0.49264f, 0.31831f, 0.02061f, 0.37251f, 0.24006f },
{ 0.28819f, -0.01655f, -0.07519f, 0.73251f, -1.78980f, -0.50295f, 0.20209f, -0.06958f, 0.13504f, 0.79476f, 1.22825f, 0.89271f, -2.41620f, -2.02038f, 2.40772f, 0.62311f },
{ -0.10264f, -0.41308f, 1.52421f, -0.08569f, -0.37218f, 0.43911f, -1.11060f, 0.33211f, -0.72257f, -0.26385f, -0.11721f, 0.46750f, -1.35224f, -0.31945f, 2.36231f, -0.07199f },
{ 0.32629f, -0.09875f, -1.50210f, -0.72279f, -2.11294f, -1.48754f, -1.05817f, -1.07942f, 0.11799f, 2.58809f, 0.29077f, 0.64427f, 1.08134f, 0.29805f, 0.67775f, -0.66364f },
{ -0.46983f, -1.80085f, -1.96661f, -1.91436f, 0.22694f, -0.23310f, -0.21775f, -0.34684f, 0.53329f, -0.87602f, 2.12575f, 0.53085f, 0.11704f, 0.47128f, 0.07187f, 0.53916f },
{ 1.56894f, -1.36818f, 0.97898f, 1.36650f, -1.14872f, 0.08365f, 2.54392f, -2.71842f, 0.52364f, -2.53033f, -1.45946f, 0.13414f, -0.20772f, 1.59106f, 0.59471f, -0.51569f },
{ -1.00805f, 0.13171f, 0.28116f, -1.15849f, -0.18354f, -0.95835f, 2.17869f, -0.44242f, -0.75215f, -0.02656f, 1.77834f, -0.81576f, 0.18114f, -2.58413f, 0.06277f, -0.63961f },
{ 2.59098f, 0.76174f, -0.80492f, 0.72503f, 0.75570f, 0.46450f, 0.85612f, -0.88104f, 0.29080f, 0.16629f, 0.69322f, 0.47068f, 0.59601f, -1.13035f, -0.54799f, -0.54158f },
{ -0.11312f, 1.40822f, -0.71513f, -1.86652f, 0.09240f, 0.36842f, 0.57948f, 0.90986f, 0.79443f, -0.33093f, 0.33437f, -0.91675f, -0.51566f, -0.38103f, -0.19502f, -0.35970f },
{ -1.12967f, 1.54744f, -0.44422f, 0.38348f, 0.26948f, 1.98750f, -1.38866f, 0.58265f, -0.81992f, -0.16881f, 0.25784f, -0.89604f, -0.17901f, 0.89074f, -0.12832f, 1.68835f },
{ 0.73411f, -0.10045f, 1.00454f, -0.36201f, 0.84025f, -0.39217f, 0.09959f, -0.77255f, -1.00344f, -2.17959f, 0.56794f, -0.85231f, -0.95215f, 1.83014f, -0.87104f, 0.42189f },
{ 0.47730f, 0.39181f, 0.51974f, -0.91811f, -0.86656f, -0.35724f, -0.41305f, 0.38653f, 1.87862f, 0.59067f, 0.18766f, 1.45365f, 1.47136f, 0.27233f, -1.55290f, -0.26744f },
{ 0.84005f, -0.67549f, -1.53567f, -0.40154f, -2.16638f, -1.74233f, -0.38974f, 1.95823f, -0.95365f, -0.13700f, 1.58401f, 0.93496f, 1.23365f, -0.68290f, -0.71719f, 0.66715f },
{ -1.34349f, 0.74853f, 0.50206f, -0.71827f, -1.05784f, -0.41422f, -1.70966f, -0.10149f, -0.98052f, -0.73704f, -1.95588f, -0.00954f, 1.09745f, -0.77432f, -0.26163f, -0.63504f },
{ 0.09810f, -0.13221f, 0.84703f, 0.88344f, 0.44815f, 0.67662f, 0.06222f, 0.70011f, 0.05150f, 0.71002f, -0.28478f, 0.42952f, -0.22391f, -0.22860f, -0.58557f, 0.24098f },
{ -0.08467f, -0.43909f, 0.80422f, 1.89453f, 0.51002f, 0.14771f, -0.16762f, -1.58122f, 1.00984f, 0.79565f, 0.16581f, 0.78710f, 1.31354f, -1.04657f, 0.58557f, 0.39039f },
{ -0.30822f, 0.80422f, 1.48017f, 0.72426f, -2.18699f, -1.25649f, -1.38184f, 0.46994f, 0.82023f, -1.26194f, -1.50517f, -0.07265f, -0.60464f, 1.01822f, -1.23067f, 0.76722f },
{ 0.91424f, -0.98924f, -0.84743f, 0.67094f, 0.03228f, 1.75436f, 0.18955f, -0.64607f, -0.27898f, -0.89181f, 2.04960f, -1.09198f, -0.00725f, 0.50311f, -0.21209f, -1.81041f },
{ 1.05236f, -0.39581f, 0.06167f, -1.32157f, -1.07916f, 0.35205f, -1.39214f, 2.22149f, -0.89326f, -1.24717f, -0.86361f, -0.94523f, 0.07090f, -0.20244f, 1.55760f, -0.42729f },
{ -1.44423f, -1.38420f, 0.22014f, 0.87114f, -0.51004f, 1.17398f, -1.84098f, 0.90557f, 1.51458f, 1.52089f, -0.43074f, 0.46059f, -1.49293f, 1.62205f, -0.75262f, -1.27383f },
{ 1.05543f, 0.79551f, -0.55283f, -0.34532f, 0.62370f, -1.92082f, -0.21648f, 1.06847f, -0.21620f, -1.09359f, -0.39199f, 0.17120f, 0.22685f, 0.12938f, 0.95605f, 0.48677f },
{ 1.61377f, -1.15690f, -1.33378f, -0.94708f, -0.45992f, 0.39727f, -1.05554f, -1.71307f, -0.09799f, -0.44387f, -0.38392f, 0.20193f, -0.28997f, -1.54741f, -0.07505f, -0.53207f },
{ 0.37749f, -0.40783f, -0.09023f, 2.61651f, -1.17436f, -0.76750f, 0.10371f, 1.36358f, 0.30474f, -0.25160f, -0.33206f, 1.99560f, 0.87038f, 0.22276f, -1.89496f, 0.21975f },
{ 0.56280f, -0.10987f, -0.33418f, -0.30299f, 1.31653f, 1.23589f, 0.04537f, -1.40080f, 0.60793f, 2.88247f, 0.45647f, -1.54907f, -0.62344f, 0.91799f, 1.50520f, 0.46598f },
{ 1.29441f, 2.71768f, -1.03414f, -0.37379f, 0.27745f, 1.13622f, -0.92231f, -0.05480f, 0.41578f, 0.58895f, -0.65749f, -0.26625f, 0.13837f, 0.53494f, 0.26219f, 0.71553f },
{ -0.95880f, -1.50636f, -0.83883f, 1.84325f, 0.78515f, 0.21871f, -1.07453f, -0.57651f, 0.11944f, -1.89234f, 0.44621f, -0.64083f, -0.40589f, -1.78069f, 0.85196f, 1.33895f },
{ 0.73135f, -0.69091f, 0.09015f, 2.36221f, -1.40826f, 1.20892f, -1.13258f, -1.09210f, 0.16260f, -1.44826f, 2.14899f, 0.44661f, 1.30355f, -0.32012f, -1.10627f, 1.35693f },
{ -0.10905f, -0.81839f, 0.04679f, -0.73822f, 0.18091f, -0.91516f, 0.41708f, -0.90553f, -0.25677f, -0.99632f, -1.83682f, 1.65648f, 0.40228f, 0.92885f, -0.20312f, 0.86576f },
{ -0.09323f, -1.52666f, 0.89994f, -1.05496f, -0.49569f, -1.02785f, -0.07880f, -0.11820f, 0.46771f, -0.09070f, 1.19236f, 0.82786f, -0.89769f, -1.42504f, -1.12939f, -0.32029f },
{ -0.03107f, -0.22476f, 0.89413f, -0.25796f, -1.71631f, 1.01478f, -0.52699f, -0.43510f, -0.46332f, -0.90364f, 0.39880f, -1.40534f, 0.12531f, -1.14563f, 2.00370f, -0.04930f },
{ 0.58731f, -0.94282f, -0.55529f, -1.08643f, 2.94101f, 0.87362f, 0.06665f, 2.25972f, 0.31635f, -0.89802f, -3.14000f, 0.29110f, 0.57275f, 0.46094f, 0.00596f, -1.28886f },
{ -0.07608f, 1.16185f, 0.91366f, -1.70566f, -0.08441f, 0.13935f, 0.89222f, -1.41791f, 0.08454f, 1.18328f, -0.91603f, -0.37767f, -0.67771f, -0.37637f, 0.45463f, -0.25614f },
{ 0.80185f, -0.55140f, -3.78395f, 0.12846f, 0.88158f, 0.10935f, 1.34574f, -0.44453f, 0.57368f, 0.21030f, -2.22419f, -0.99192f, 0.78118f, 0.89657f, -1.23078f, 1.47906f },
{ 2.17788f, -0.20514f, -0.00678f, 1.34641f, 0.65260f, 2.30163f, 0.38319f, 0.82939f, 1.44947f, 0.23779f, -0.88137f, -0.95969f, -0.14689f, 0.30960f, 0.99036f, 0.19942f },
{ -1.53889f, 0.94990f, -0.01854f, 0.42653f, 1.04404f, 0.17472f, -0.51022f, -0.70257f, 0.72459f, -1.47357f, -0.09974f, 0.38544f, -0.02474f, 0.94733f, -1.04531f, 1.47785f },
{ 1.46893f, 0.20013f, 0.66822f, 1.39315f, 0.15226f, 1.03960f, -0.42534f, -1.20517f, 1.71292f, 1.03205f, 0.50510f, 0.31564f, -0.11222f, -1.36873f, 1.32664f, -0.82906f },
{ 0.53563f, 0.91394f, 0.34495f, 0.25272f, 0.95763f, -1.68001f, 1.69380f, 1.32641f, -0.62936f, 1.62622f, 0.83836f, -1.71007f, -1.26048f, 0.71212f, 2.22057f, -0.06752f },
